,lat,lon,,
405,34.25298833,-77.92062333,North Carolina,
406,34.25191667,-77.92328,North Carolina,
407,34.24166667,-77.91330833,North Carolina,
408,34.23919833,-77.90895,North Carolina,
409,34.237704,-77.9112,North Carolina,
410,34.24239167,-77.89377167,North Carolina,
411,34.23265667,-77.90044667,North Carolina,
412,34.23001167,-77.9039,North Carolina,
413,34.24039167,-77.90614833,North Carolina,
414,34.22900167,-77.918495,North Carolina,
415,34.23885,-77.91540667,North Carolina,
416,34.24729,-77.907795,North Carolina,
417,34.24929667,-77.91894167,North Carolina,
418,34.25161333,-77.90140833,North Carolina,
419,34.23443333,-77.910335,North Carolina,
420,34.23900333,-77.90000333,North Carolina,
421,34.244295,-77.89440833,North Carolina,
422,34.25058,-77.930225,North Carolina,
423,34.25558667,-77.91917333,North Carolina,
424,34.23553833,-77.92792167,North Carolina,
425,34.243656,-77.907039,North Carolina,
426,34.24063,-77.90432667,North Carolina,
427,34.23117167,-77.92074667,North Carolina,
428,34.24339667,-77.93067,North Carolina,
429,34.219838,-77.932028,North Carolina,
430,34.24251833,-77.945275,North Carolina,
431,34.21359167,-77.92551,North Carolina,
432,34.23597167,-77.90217167,North Carolina,
433,39.74020333,-75.53929167,Delaware,
434,39.737655,-75.54023,Delaware,
435,39.73101667,-75.540525,Delaware,
436,39.72663,-75.54996667,Delaware,
437,39.732145,-75.54652,Delaware,
438,39.73686333,-75.54816667,Delaware,
439,39.74060833,-75.54430833,Delaware,
440,39.74408333,-75.54039167,Delaware,
441,39.74863,-75.52926167,Delaware,
442,39.753355,-75.54018833,Delaware,
443,39.74288833,-75.54698167,Delaware,
444,39.740755,-75.55255167,Delaware,
445,39.74041,-75.557375,Delaware,
446,39.73868333,-75.56319833,Delaware,
447,39.73212833,-75.56898833,Delaware,
448,39.73794167,-75.57339833,Delaware,
449,39.74322333,-75.5715,Delaware,
450,39.745395,-75.562285,Delaware,
451,39.74944333,-75.55834667,Delaware,
452,39.760263,-75.53824,Delaware,
453,39.76118333,-75.54876667,Delaware,
454,39.75416167,-75.56121,Delaware,
455,39.7514,-75.56279667,Delaware,
456,39.74564,-75.54892333,Delaware,
457,39.75784167,-75.54816,Delaware,
458,39.7581,-75.54218,Delaware,
459,39.73677833,-75.570405,Delaware,
460,39.749935,-75.566755,Delaware,
461,39.732655,-75.54117833,Delaware,
462,39.73529333,-75.57173667,Delaware,
463,39.747839,-75.552024,Delaware,
464,39.758605,-75.560925,Delaware,
465,39.73480333,-75.56869833,Delaware,
466,39.747185,-75.546945,Delaware,
467,39.74066167,-75.56555333,Delaware,
468,39.74590333,-75.53443833,Delaware,
469,39.74417833,-75.557035,Delaware,
470,39.751135,-75.55007667,Delaware,
471,39.737335,-75.54559167,Delaware,
472,39.75132667,-75.52734667,Delaware,
473,39.74321667,-75.55054333,Delaware,
